protein	annotation	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	C30_planktonic_1 Spectral Count	C30_planktonic_2 Spectral Count	C30_planktonic_3 Spectral Count	C30_secreted_1 Spectral Count	C30_secreted_2 Spectral Count	C30_secreted_3 Spectral Count	LMWPE_biofilm_1 Spectral Count	LMWPE_biofilm_2 Spectral Count	LMWPE_biofilm_3 Spectral Count	LMWPE_planktonic_1 Spectral Count	LMWPE_planktonic_2 Spectral Count	LMWPE_planktonic_3 Spectral Count	LMWPE_secreted_1 Spectral Count	LMWPE_secreted_2 Spectral Count	LMWPE_secreted_3 Spectral Count	Succinate_planktonic_1 Spectral Count	Succinate_planktonic_2 Spectral Count	Succinate_planktonic_3 Spectral Count	C30_planktonic_1 Unique Spectral Count	C30_planktonic_2 Unique Spectral Count	C30_planktonic_3 Unique Spectral Count	C30_secreted_1 Unique Spectral Count	C30_secreted_2 Unique Spectral Count	C30_secreted_3 Unique Spectral Count	LMWPE_biofilm_1 Unique Spectral Count	LMWPE_biofilm_2 Unique Spectral Count	LMWPE_biofilm_3 Unique Spectral Count	LMWPE_planktonic_1 Unique Spectral Count	LMWPE_planktonic_2 Unique Spectral Count	LMWPE_planktonic_3 Unique Spectral Count	LMWPE_secreted_1 Unique Spectral Count	LMWPE_secreted_2 Unique Spectral Count	LMWPE_secreted_3 Unique Spectral Count	Succinate_planktonic_1 Unique Spectral Count	Succinate_planktonic_2 Unique Spectral Count	Succinate_planktonic_3 Unique Spectral Count	C30_planktonic_1 Total Spectral Count	C30_planktonic_2 Total Spectral Count	C30_planktonic_3 Total Spectral Count	C30_secreted_1 Total Spectral Count	C30_secreted_2 Total Spectral Count	C30_secreted_3 Total Spectral Count	LMWPE_biofilm_1 Total Spectral Count	LMWPE_biofilm_2 Total Spectral Count	LMWPE_biofilm_3 Total Spectral Count	LMWPE_planktonic_1 Total Spectral Count	LMWPE_planktonic_2 Total Spectral Count	LMWPE_planktonic_3 Total Spectral Count	LMWPE_secreted_1 Total Spectral Count	LMWPE_secreted_2 Total Spectral Count	LMWPE_secreted_3 Total Spectral Count	Succinate_planktonic_1 Total Spectral Count	Succinate_planktonic_2 Total Spectral Count	Succinate_planktonic_3 Total Spectral Count	C30_planktonic_1 Intensity	C30_planktonic_2 Intensity	C30_planktonic_3 Intensity	C30_secreted_1 Intensity	C30_secreted_2 Intensity	C30_secreted_3 Intensity	LMWPE_biofilm_1 Intensity	LMWPE_biofilm_2 Intensity	LMWPE_biofilm_3 Intensity	LMWPE_planktonic_1 Intensity	LMWPE_planktonic_2 Intensity	LMWPE_planktonic_3 Intensity	LMWPE_secreted_1 Intensity	LMWPE_secreted_2 Intensity	LMWPE_secreted_3 Intensity	Succinate_planktonic_1 Intensity	Succinate_planktonic_2 Intensity	Succinate_planktonic_3 Intensity	C30_planktonic_1 MaxLFQ Intensity	C30_planktonic_2 MaxLFQ Intensity	C30_planktonic_3 MaxLFQ Intensity	C30_secreted_1 MaxLFQ Intensity	C30_secreted_2 MaxLFQ Intensity	C30_secreted_3 MaxLFQ Intensity	LMWPE_biofilm_1 MaxLFQ Intensity	LMWPE_biofilm_2 MaxLFQ Intensity	LMWPE_biofilm_3 MaxLFQ Intensity	LMWPE_planktonic_1 MaxLFQ Intensity	LMWPE_planktonic_2 MaxLFQ Intensity	LMWPE_planktonic_3 MaxLFQ Intensity	LMWPE_secreted_1 MaxLFQ Intensity	LMWPE_secreted_2 MaxLFQ Intensity	LMWPE_secreted_3 MaxLFQ Intensity	Succinate_planktonic_1 MaxLFQ Intensity	Succinate_planktonic_2 MaxLFQ Intensity	Succinate_planktonic_3 MaxLFQ Intensity	Indistinguishable Proteins
MAG107_contig_30_1010	"MAG107_contig_30_1010 rank: C; ribosome-associated protein (db=kegg)"	"MAG107_contig_30_1010 rank: C; ribosome-associated protein (db=kegg)"		179			"MAG107_contig_30_1010 rank: C; ribosome-associated protein (db=kegg)"	1.0	0.999	10	276	276	276	1	0	1	13	7	10	24	24	28	11	20	21	17	16	14	19	30	14	1	0	1	13	7	10	24	24	28	11	20	21	17	16	14	19	30	14	1	0	1	13	7	10	24	24	28	11	20	21	17	16	14	19	30	14	173755.89	0.0	169737.52	186513.22	174280.47	152011.45	1242220.2	1248393.0	1291686.2	546442.94	765093.3	909842.2	924305.6	883533.8	604160.75	517871.3	573701.44	793822.4	0.0	0.0	0.0	82380.1	76173.59	71774.38	229929.58	247126.69	262856.62	138634.86	175467.19	194167.73	202685.67	190992.33	205053.25	123261.21	148999.8	199875.38	
MAG107_contig_30_1011	"MAG107_contig_30_1011 rank: C; phosphocarrier protein HPr (db=kegg)"	"MAG107_contig_30_1011 rank: C; phosphocarrier protein HPr (db=kegg)"		89			"MAG107_contig_30_1011 rank: C; phosphocarrier protein HPr (db=kegg)"	1.0	0.999	5	186	186	186	7	11	9	6	4	5	15	15	9	8	13	10	8	10	8	16	15	13	7	11	9	6	4	5	15	15	9	8	13	10	8	10	8	16	15	13	7	11	9	6	4	5	15	15	9	8	13	10	8	10	8	16	15	13	911319.75	1135798.8	955538.25	360175.8	342571.5	345752.25	615916.6	642596.06	717038.9	473219.78	753376.6	770408.6	418354.0	545614.0	784959.7	886381.3	1301132.1	934486.0	294968.22	348567.1	286278.62	170968.17	164573.19	163048.17	198445.5	211440.95	236952.6	197617.17	249563.75	250555.69	191094.92	180098.62	247809.61	266244.0	391361.06	300305.6	
MAG107_contig_30_1012	"MAG107_contig_30_1012 rank: C; RNase adapter protein RapZ (db=kegg)"	"MAG107_contig_30_1012 rank: C; RNase adapter protein RapZ (db=kegg)"		283			"MAG107_contig_30_1012 rank: C; RNase adapter protein RapZ (db=kegg)"	1.0	0.999	23	718	718	718	25	19	29	33	25	28	54	53	56	50	56	48	25	18	16	45	44	50	25	19	29	33	25	28	54	53	56	50	56	48	25	18	16	45	44	50	25	19	29	33	25	28	54	53	56	50	56	48	25	18	16	45	44	50	1427873.0	1172774.9	1532453.4	824626.25	775860.75	827326.06	2006161.5	2124936.2	2197911.5	1867287.2	2203888.8	1807722.2	632186.4	356086.75	619752.44	2301716.0	2137464.2	2483869.0	239629.67	227770.5	229930.03	187981.95	169559.38	182579.84	255269.25	236733.25	254894.11	261576.39	251212.45	235209.28	121512.734	122778.38	150768.62	259813.97	268529.62	244376.81	
MAG107_contig_30_1013	"MAG107_contig_30_1013 rank: C; pantoate--beta-alanine ligase [EC:6.3.2.1] (db=kegg)"	"MAG107_contig_30_1013 rank: C; pantoate--beta-alanine ligase [EC:6.3.2.1] (db=kegg)"		281			"MAG107_contig_30_1013 rank: C; pantoate--beta-alanine ligase [EC:6.3.2.1] (db=kegg)"	1.0	0.999	20	844	844	844	36	29	26	23	5	6	39	46	45	85	52	51	44	53	45	55	64	90	36	29	26	23	5	6	39	46	45	85	52	51	44	53	45	55	64	90	36	29	26	23	5	6	39	46	45	85	52	51	44	53	45	55	64	90	2153318.5	1919394.0	1742492.2	553768.7	230275.55	281159.75	1004811.3	1141400.2	1241394.9	2948035.5	2570561.0	2295273.2	2888147.2	2925515.2	3701016.8	2950106.5	3280637.5	3951141.5	275555.75	299406.28	263385.97	117842.39	110989.12	121480.52	146389.2	161820.28	175478.88	344062.84	347836.34	343078.3	357774.25	345276.03	505461.6	404985.22	422130.2	516428.4	
MAG107_contig_30_1014	"MAG107_contig_30_1014 rank: C; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11] (db=kegg)"	"MAG107_contig_30_1014 rank: C; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11] (db=kegg)"		269			"MAG107_contig_30_1014 rank: C; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11] (db=kegg)"	1.0	0.999	16	693	693	693	31	27	31	21	23	19	34	39	50	49	58	42	21	20	18	57	50	66	31	27	31	21	23	19	34	39	50	49	58	42	21	20	18	57	50	66	31	27	31	21	23	19	34	39	50	49	58	42	21	20	18	57	50	66	2401118.8	2229877.5	2131986.2	1546069.0	1316305.4	1464764.0	1217897.2	1501919.4	1709318.5	2579907.8	2589410.5	2116187.2	902232.0	775252.3	724716.2	2354256.0	2281686.0	2240595.5	452056.97	435398.44	424168.56	393655.78	379151.88	410073.34	214222.02	234693.44	267254.56	442656.2	425264.97	331903.34	272161.78	252136.88	225213.5	370309.9	418385.88	379158.12	
MAG107_contig_30_1015	"MAG107_contig_30_1015 rank: C; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3] (db=kegg)"	"MAG107_contig_30_1015 rank: C; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3] (db=kegg)"		160			"MAG107_contig_30_1015 rank: C; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3] (db=kegg)"	1.0	0.999	4	30	30	30	0	0	0	0	0	0	3	0	2	1	3	3	0	0	5	3	4	5	0	0	0	0	0	0	3	0	2	1	3	3	0	0	5	3	4	5	0	0	0	0	0	0	3	0	2	1	3	3	0	0	5	3	4	5	0.0	0.0	0.0	0.0	0.0	0.0	23491.896	0.0	23386.86	37093.39	48530.387	54225.19	0.0	0.0	46673.742	104875.9	100934.57	188394.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90944.9	0.0	108632.55	
MAG107_contig_30_1016	"MAG107_contig_30_1016 rank: C; poly(A) polymerase [EC:2.7.7.19] (db=kegg)"	"MAG107_contig_30_1016 rank: C; poly(A) polymerase [EC:2.7.7.19] (db=kegg)"		493			"MAG107_contig_30_1016 rank: C; poly(A) polymerase [EC:2.7.7.19] (db=kegg)"	1.0	0.999	30	555	555	555	11	9	10	16	18	18	63	41	43	50	46	52	3	1	2	46	52	36	11	9	10	16	18	18	63	41	43	50	46	52	3	1	2	46	52	36	11	9	10	16	18	18	63	41	43	50	46	52	3	1	2	46	52	36	598516.06	461352.7	498997.28	565891.4	569009.3	493094.1	1591379.2	1374440.6	1229449.2	1480123.5	1298588.4	1282277.4	40960.4	14480.287	31354.422	1108067.2	1204151.8	926616.9	119756.46	119341.61	115873.83	93984.67	92824.97	78037.51	110489.305	100162.375	98720.89	122608.04	113592.47	103217.89	122045.836	0.0	46819.56	97901.67	90785.17	87172.65	
MAG107_contig_30_1017	"MAG107_contig_30_1017 rank: C; competence protein ComEA (db=kegg)"	"MAG107_contig_30_1017 rank: C; competence protein ComEA (db=kegg)"		153			"MAG107_contig_30_1017 rank: C; competence protein ComEA (db=kegg)"	1.0	0.999	4	24	24	24	0	0	0	0	0	0	0	0	0	0	0	0	4	5	12	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	5	12	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	4	5	12	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85892.81	127474.16	155245.89	11321.079	7231.68	9873.628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49037.46	56026.406	64559.992	0.0	0.0	0.0	
MAG107_contig_30_1018	"MAG107_contig_30_1018 rank: D; MazG nucleotide pyrophosphohydrolase domain [PF03819.21] (db=pfam)"	"MAG107_contig_30_1018 rank: D; MazG nucleotide pyrophosphohydrolase domain [PF03819.21] (db=pfam)"		259			"MAG107_contig_30_1018 rank: D; MazG nucleotide pyrophosphohydrolase domain [PF03819.21] (db=pfam)"	1.0	0.999	9	89	89	89	0	0	0	0	0	0	6	4	4	11	16	11	0	0	0	16	9	6	0	0	0	0	0	0	6	4	4	11	16	11	0	0	0	16	9	6	0	0	0	0	0	0	6	4	4	11	16	11	0	0	0	16	9	6	0.0	0.0	0.0	0.0	0.0	0.0	52474.215	50038.973	35801.57	141620.81	166263.55	119252.97	0.0	0.0	0.0	248331.86	180798.33	242939.64	0.0	0.0	0.0	0.0	0.0	0.0	24931.12	31859.43	0.0	45321.047	43680.5	43454.254	0.0	0.0	0.0	57905.047	50592.316	64849.574	
MAG107_contig_30_1019	"MAG107_contig_30_1019 rank: D; short chain dehydrogenase [PF00106.29]; Enoyl-(Acyl carrier protein) reductase [PF13561.10]; KR domain [PF08659.14]; NAD dependent epimerase/dehydratase family [PF01370.25] (db=pfam)"	"MAG107_contig_30_1019 rank: D; short chain dehydrogenase [PF00106.29]; Enoyl-(Acyl carrier protein) reductase [PF13561.10]; KR domain [PF08659.14]; NAD dependent epimerase/dehydratase family [PF01370.25] (db=pfam)"		257			"MAG107_contig_30_1019 rank: D; short chain dehydrogenase [PF00106.29]; Enoyl-(Acyl carrier protein) reductase [PF13561.10]; KR domain [PF08659.14]; NAD dependent epimerase/dehydratase family [PF01370.25] (db=pfam)"	1.0	0.999	11	197	197	197	1	0	0	13	11	15	9	10	13	23	21	23	1	0	1	17	17	12	1	0	0	13	11	15	9	10	13	23	21	23	1	0	1	17	17	12	1	0	0	13	11	15	9	10	13	23	21	23	1	0	1	17	17	12	106681.36	0.0	0.0	785428.44	660507.7	761899.6	349167.28	484773.6	571380.9	823460.7	1045641.8	1024809.2	39522.72	0.0	42426.195	634821.25	700652.7	814502.94	0.0	0.0	0.0	280871.66	305487.94	226330.83	94838.77	107497.2	120019.82	173038.6	186375.25	179532.95	0.0	0.0	0.0	124108.92	133204.11	148790.31	
MAG107_contig_30_1020	MAG107_contig_30_1020 rank: E	MAG107_contig_30_1020 rank: E		124			MAG107_contig_30_1020 rank: E	1.0	0.999	3	59	59	59	0	0	0	0	0	0	0	0	0	5	2	4	5	5	7	8	14	8	0	0	0	0	0	0	0	0	0	5	2	4	5	5	7	8	14	8	0	0	0	0	0	0	0	0	0	5	2	4	5	5	7	8	14	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50695.1	35256.484	48411.492	133482.36	177455.27	311858.97	306852.9	343046.38	289903.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35347.605	0.0	31471.408	89535.05	111843.766	163248.4	183078.28	196722.7	189656.95	
